Metro,Population,Transit,Walk,Bike,No Car,Index,Rank
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",432772,0.3,1.7,0.2,2.2,0.308900523560209,328
"Victoria, TX Metro Area",99028,0.8,1.1,0.2,2.1,0.303010471204188,329
"Sherman-Denison, TX Metro Area",126146,0.4,1.8,0.2,2,0.300392670157068,330
"Columbus, IN Metro Area",81024,0.6,1.3,0.4,1.5,0.300392670157068,330
"Pensacola-Ferry Pass-Brent, FL Metro Area",476702,0.4,1.6,0.3,1.8,0.294502617801047,332
"Casper, WY Metro Area",81023,0.4,1.6,0.4,1.4,0.293193717277487,333
"Oklahoma City, OK Metro Area",1353504,0.4,1.5,0.3,1.9,0.291230366492147,334
"Winchester, VA-WV Metro Area",134712,0.3,2.4,0,2.2,0.290575916230366,335
"Greensboro-High Point, NC Metro Area",751590,0.8,1.2,0.1,2.2,0.290575916230366,335
"Monroe, MI Metro Area",149619,1.1,1.1,0.2,1.7,0.289921465968586,337
"Punta Gorda, FL Metro Area",173236,0.2,1,1.1,1.7,0.286649214659686,338
"Gainesville, GA Metro Area",192865,0.3,1,0.1,3,0.286649214659686,338
"Warner Robins, GA Metro Area",188764,0.3,1.1,0.3,2.2,0.285994764397906,340
"Greenville-Anderson-Mauldin, SC Metro Area",872463,0.5,1.4,0.2,2.1,0.285994764397906,340
"Raleigh, NC Metro Area",1273985,0.9,1.2,0.2,1.8,0.282722513089005,342
"Elizabethtown-Fort Knox, KY Metro Area",150253,0.3,2.2,0,2.2,0.280759162303665,343
"Spartanburg, SC Metro Area",325504,0.4,1.3,0.1,2.5,0.278795811518325,344
"Brownsville-Harlingen, TX Metro Area",420201,0.5,1.3,0.2,2.1,0.278141361256544,345
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1830410,1.1,1.3,0.1,1.8,0.273560209424084,346
"Hattiesburg, MS Metro Area",148399,0.2,1.6,0.4,1.6,0.269633507853403,347
"Yakima, WA Metro Area",248279,0.6,1.6,0.2,1.6,0.268979057591623,348
"Montgomery, AL Metro Area",373507,0.5,1.1,0.1,2.4,0.268324607329843,349
"Florence-Muscle Shoals, AL Metro Area",147025,0.1,1.3,0.2,2.5,0.267015706806283,350
"Kokomo, IN Metro Area",82457,0.3,1,0.1,2.7,0.255890052356021,351
"Homosassa Springs, FL Metro Area",141373,0.3,1.2,0.4,1.7,0.255890052356021,351
"Fort Smith, AR-OK Metro Area",280705,0.3,1.8,0.1,2.1,0.255890052356021,351
"Tulsa, OK Metro Area",977869,0.5,1.2,0.2,2,0.25196335078534,354
"Beaumont-Port Arthur, TX Metro Area",408663,0.4,0.9,0.1,2.5,0.244764397905759,355
"Sebastian-Vero Beach, FL Metro Area",147981,0.4,0.9,0.4,1.6,0.244109947643979,356
"Enid, OK Metro Area",62421,0.3,1.1,0.5,1.3,0.236910994764398,357
"Bismarck, ND Metro Area",128673,0.2,1.6,0.3,1.5,0.231675392670157,358
"McAllen-Edinburg-Mission, TX Metro Area",839539,0.3,1.2,0.2,2.1,0.230366492146597,359
"Texarkana, TX-AR Metro Area",149889,0.3,1,0.1,2.4,0.220549738219895,360
"Cleveland, TN Metro Area",120388,0.2,2.1,0,2,0.213350785340314,361
"Knoxville, TN Metro Area",862490,0.5,1.3,0.2,1.4,0.208769633507853,362
"Gadsden, AL Metro Area",103132,0.3,0.6,0.1,2.4,0.206151832460733,363
"Joplin, MO Metro Area",176759,0.3,1.5,0.2,1.6,0.205497382198953,364
"Birmingham-Hoover, AL Metro Area",1144097,0.6,1.1,0.1,1.9,0.205497382198953,364
"Jefferson City, MO Metro Area",151056,0.3,1.1,0.1,2.2,0.204842931937173,366
"Tyler, TX Metro Area",222277,0.2,1,0.3,1.6,0.180628272251309,367
"Mobile, AL Metro Area",414328,0.5,1.1,0.1,1.7,0.175392670157068,368
"Burlington, NC Metro Area",157844,0.2,1.3,0.1,2,0.164267015706806,369
"Dothan, AL Metro Area",147790,0.1,0.7,0.1,2.3,0.161649214659686,370
"Johnson City, TN Metro Area",200767,0.5,1.1,0.1,1.4,0.151178010471204,371
"The Villages, FL Metro Area",116754,0.3,0.9,0.1,2,0.150523560209424,372
"Jackson, MS Metro Area",578565,0.3,1.1,0.1,1.8,0.145287958115183,373
"Anniston-Oxford-Jacksonville, AL Metro Area",115527,0.2,1.3,0,1.9,0.119764397905759,374
"Longview, TX Metro Area",216934,0.1,1.5,0,1.7,0.107329842931937,375
"Kingsport-Bristol-Bristol, TN-VA Metro Area",306745,0.3,0.9,0.1,1.5,0.105366492146597,376
"Huntsville, AL Metro Area",444908,0.2,0.8,0.1,1.6,0.0883507853403141,377
"Hickory-Lenoir-Morganton, NC Metro Area",364044,0.1,0.9,0.1,1.7,0.0883507853403141,377
"Decatur, AL Metro Area",152445,0.1,0.8,0.1,1.4,0.0595549738219895,379
"Daphne-Fairhope-Foley, AL Metro Area",203360,0.1,0.8,0.1,1,0.0517015706806283,380
"Midland, TX Metro Area",165430,0.2,0.9,0,1.2,0.037303664921466,381
"Morristown, TN Metro Area",116352,0.2,0.8,0,1.2,0.0327225130890052,382
